City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
145,Tanggulangin,ID,76.96,haze,-7.4996,112.6999,kludan
149,Pindi Gheb,PK,86.02,clear sky,33.2402,72.2661,Mohallah Masjid Ghulam shah
153,Butaritari,KI,81.72,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
156,Mao,ES,79.36,few clouds,39.8885,4.2658,ARTIEM Capri
159,Muli,MV,81.39,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
166,Nautla,MX,83.43,broken clouds,20.2167,-96.7833,Casa Blanca
167,Anloga,GH,76.77,clear sky,5.7947,0.8973,Pin Drop Hotel
171,Guerrero Negro,MX,79.81,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
172,Kanniyakumari,IN,77.41,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
177,Cayenne,GF,80.64,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
181,Mamallapuram,IN,78.85,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
182,Port Blair,IN,75.24,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
184,Filingue,NE,80.91,overcast clouds,14.3521,3.3168,
189,Carutapera,BR,77.07,overcast clouds,-1.195,-46.02,Lidera
194,Jalu,LY,75.99,clear sky,29.0331,21.5482,صاحبة الفخامة
202,Narasannapeta,IN,79.29,overcast clouds,18.4167,84.05,AVK events and catering
206,Harlingen,US,89.69,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
209,Natal,BR,77.22,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
221,Port Said,EG,80.24,clear sky,31.2565,32.2841,Aracan Hotel
224,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
227,Carbonia,IT,79.45,scattered clouds,39.1672,8.5222,Lu 'Hotel
233,Sal Rei,CV,79.0,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
234,Camargo,MX,84.16,overcast clouds,27.6667,-105.1667,Hotel Santa Fe
236,Zorritos,PE,75.49,scattered clouds,-3.6805,-80.6782,Hotel Pinamar
238,Pangai,TO,80.71,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
246,Keti Bandar,PK,79.81,clear sky,24.1447,67.4497,Haji laloo memon house
247,Bodden Town,KY,86.0,scattered clouds,19.2833,-81.25,Will T Place
249,Kieta,PG,83.64,light rain,-6.2167,155.6333,Uruna Bay Retreat
252,Ranong,TH,78.17,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
254,Lorengau,PG,83.73,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
258,Iracoubo,GF,79.45,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
262,Korla,CN,76.06,clear sky,41.7597,86.1469,Gulisitan Hotel
268,Kloulklubed,PW,75.7,light rain,7.0419,134.2556,Storyboard Beach Resort
270,Isangel,VU,82.51,scattered clouds,-19.55,169.2667,Tanna Lodge
272,Faanui,PF,78.73,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
275,Noumea,NC,75.18,clear sky,-22.2763,166.4572,Hôtel Le Lagon
277,Marsaxlokk,MT,81.09,few clouds,35.8419,14.5431,Water's Edge
